-43.26,-95.40,214.18,-15.82,-79.65,-26.16,2577.15,,,,,,,,,,,,,,,,,
-85.52,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
320.76,,,,,,,,,,,,,,,,,,,,,,,
136.11,160.68,,,,,,,,,,,,,,,,,,,,,,
-10.74,,,,,,,,,,,,,,,,,,,,,,,
320.76,,,,,,,,,,,,,,,,,,,,,,,
-78.56,22.97,-9.00,,,,,,,,,,,,,,,,,,,,,
-93.78,840.63,,,,,,,,,,,,,,,,,,,,,,
-97.60,15.08,145.38,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1.02,-22.53,0.99,-1.79,33.68,128.34,29.63,-94.24,978.91,-65.81,,,,,,,,,,,,,,
-95.12,104.48,,,,,,,,,,,,,,,,,,,,,,
123.75,308.90,-26.61,,,,,,,,,,,,,,,,,,,,,
198.03,,,,,,,,,,,,,,,,,,,,,,,
-88.78,96.42,159.50,,,,,,,,,,,,,,,,,,,,,
-98.43,571.45,,,,,,,,,,,,,,,,,,,,,,
-93.50,469.45,-41.07,-14.56,750.05,-97.39,1700.09,-93.15,2108.43,,,,,,,,,,,,,,,
-35.21,-79.65,-1.55,201.26,,,,,,,,,,,,,,,,,,,,
-87.10,,,,,,,,,,,,,,,,,,,,,,,
-77.16,534.50,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
-77.62,167.68,-1.79,-46.95,-4.09,-49.57,,,,,,,,,,,,,,,,,,
-74.99,59.63,,,,,,,,,,,,,,,,,,,,,,
-69.55,53.54,194.63,-79.65,490.70,-44.21,126.99,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
-88.41,489.26,-69.47,-23.28,145.38,,,,,,,,,,,,,,,,,,,
350.09,-62.70,-49.57,,,,,,,,,,,,,,,,,,,,,
177.00,,,,,,,,,,,,,,,,,,,,,,,
-85.59,,,,,,,,,,,,,,,,,,,,,,,
-79.49,,,,,,,,,,,,,,,,,,,,,,,
-60.58,-29.75,-26.34,-79.65,810.66,676.21,,,,,,,,,,,,,,,,,,
-75.99,-79.95,-38.65,,,,,,,,,,,,,,,,,,,,,
5.50,-61.62,96.42,-79.65,392.25,-93.31,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
-97.91,169.30,47.31,6.09,-25.88,-74.12,195.35,1495.69,,,,,,,,,,,,,,,,
-35.21,-79.65,-1.55,,,,,,,,,,,,,,,,,,,,,
-41.00,-69.89,63.68,83.01,-53.59,-85.62,441.48,-65.53,401.64,,,,,,,,,,,,,,,
37.01,,,,,,,,,,,,,,,,,,,,,,,
320.76,,,,,,,,,,,,,,,,,,,,,,,
-72.57,-31.04,-33.27,949.34,,,,,,,,,,,,,,,,,,,,
-91.90,19.74,-49.57,,,,,,,,,,,,,,,,,,,,,
180.92,,,,,,,,,,,,,,,,,,,,,,,
-41.44,-79.65,146.13,-53.24,390.76,,,,,,,,,,,,,,,,,,,
-96.01,1074.70,-34.68,-12.50,33.02,,,,,,,,,,,,,,,,,,,
72.20,,,,,,,,,,,,,,,,,,,,,,,
-61.23,,,,,,,,,,,,,,,,,,,,,,,
5.52,468.76,,,,,,,,,,,,,,,,,,,,,,
-98.51,1113.52,-50.54,33.02,,,,,,,,,,,,,,,,,,,,
1.86,981.19,,,,,,,,,,,,,,,,,,,,,,
-65.79,226.80,-15.82,-44.95,177.27,-80.31,33.89,185.64,,,,,,,,,,,,,,,,
-44.52,,,,,,,,,,,,,,,,,,,,,,,
-53.07,-60.05,,,,,,,,,,,,,,,,,,,,,,
-96.28,136.11,160.68,,,,,,,,,,,,,,,,,,,,,
-94.12,-6.70,722.45,,,,,,,,,,,,,,,,,,,,,
-98.02,18.06,468.76,,,,,,,,,,,,,,,,,,,,,
-86.54,96.42,112.32,,,,,,,,,,,,,,,,,,,,,
-97.47,-37.75,11.88,665.04,-21.55,33.02,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
-74.06,940.79,,,,,,,,,,,,,,,,,,,,,,
-43.62,17.85,100.35,-90.52,219.25,,,,,,,,,,,,,,,,,,,
-79.11,-34.53,-79.65,-6.70,506.76,-91.76,505.19,,,,,,,,,,,,,,,,,
-69.06,863.28,,,,,,,,,,,,,,,,,,,,,,
320.76,,,,,,,,,,,,,,,,,,,,,,,
44.29,49.02,,,,,,,,,,,,,,,,,,,,,,
113.54,-55.17,-22.38,-59.30,23.06,298.13,-87.95,,,,,,,,,,,,,,,,,
138.69,,,,,,,,,,,,,,,,,,,,,,,
-12.55,-37.47,220.27,,,,,,,,,,,,,,,,,,,,,
215.43,-81.59,24.28,-38.96,56.93,-3.28,96.42,-79.65,269.19,13.75,-46.66,-11.73,108.96,,,,,,,,,,,
219.18,-85.48,1258.64,-77.73,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
13.49,103.99,-62.37,17.85,-60.22,-48.85,293.80,,,,,,,,,,,,,,,,,
-95.94,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
30.81,,,,,,,,,,,,,,,,,,,,,,,
34.73,-53.86,25.89,505.92,-34.53,218.28,-93.61,589.15,-59.02,,,,,,,,,,,,,,,
-15.35,-79.65,-1.55,,,,,,,,,,,,,,,,,,,,,
-74.08,1049.71,,,,,,,,,,,,,,,,,,,,,,
-91.53,303.95,-1.79,1221.08,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
-92.58,3828.37,-96.95,23.06,89.59,380.02,-74.79,533.03,,,,,,,,,,,,,,,,
476.83,-92.22,123.75,796.95,-66.54,33.02,,,,,,,,,,,,,,,,,,
-94.72,85.20,,,,,,,,,,,,,,,,,,,,,,
33.89,,,,,,,,,,,,,,,,,,,,,,,
-67.78,-54.92,-36.80,112.83,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
-93.53,145.38,1028.69,,,,,,,,,,,,,,,,,,,,,
-80.27,343.62,-86.43,39.95,111.05,-84.20,,,,,,,,,,,,,,,,,,
198.03,,,,,,,,,,,,,,,,,,,,,,,
-94.67,96.42,-59.30,47.68,-84.20,3411.78,-92.80,,,,,,,,,,,,,,,,,
-94.13,-83.99,273.49,-72.03,374.85,26.39,,,,,,,,,,,,,,,,,,
-35.21,-79.65,-1.55,,,,,,,,,,,,,,,,,,,,,
-30.83,48.35,14.51,34.08,-50.90,-34.89,-70.83,23.32,,,,,,,,,,,,,,,,
320.76,,,,,,,,,,,,,,,,,,,,,,,
-61.25,-93.60,873.96,-36.80,,,,,,,,,,,,,,,,,,,,
359.87,,,,,,,,,,,,,,,,,,,,,,,
-83.96,-94.82,726.39,-18.75,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
138.69,,,,,,,,,,,,,,,,,,,,,,,
76.48,-4.84,-70.07,202.59,,,,,,,,,,,,,,,,,,,,
-16.77,126.18,-79.97,-5.21,,,,,,,,,,,,,,,,,,,,
2.87,-79.65,146.13,72.10,,,,,,,,,,,,,,,,,,,,
-95.86,770.66,-64.65,,,,,,,,,,,,,,,,,,,,,
18.30,-79.65,-1.55,186.84,,,,,,,,,,,,,,,,,,,,
-98.97,171.62,33.37,33.02,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
-40.10,96.42,-79.65,23.06,358.94,,,,,,,,,,,,,,,,,,,
-97.46,255.80,887.46,-10.93,-2.18,114.27,-96.07,935.16,38.45,31.45,390.76,,,,,,,,,,,,,
-4.49,-54.93,-95.63,-86.61,151.63,-39.35,77.21,-77.58,-20.76,,,,,,,,,,,,,,,
-12.82,-78.98,,,,,,,,,,,,,,,,,,,,,,
71.13,-79.65,170.74,56.46,,,,,,,,,,,,,,,,,,,,
-95.15,11.88,295.71,39.03,,,,,,,,,,,,,,,,,,,,
-95.58,,,,,,,,,,,,,,,,,,,,,,,
-89.17,29.86,3.41,,,,,,,,,,,,,,,,,,,,,
-69.19,-79.55,2221.12,-98.20,39.90,,,,,,,,,,,,,,,,,,,
-55.50,,,,,,,,,,,,,,,,,,,,,,,
127.38,55.23,-79.65,-50.77,279.17,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1.41,-23.02,13.61,-89.35,-28.22,-89.61,4607.04,-63.27,34.87,-84.89,19.35,-71.45,36.73,-78.17,-70.90,5151.16,-82.25,-58.43,,,,,,
-63.36,40.27,72.54,-88.81,179.33,-74.72,299.07,,,,,,,,,,,,,,,,,
51.90,,,,,,,,,,,,,,,,,,,,,,,
138.69,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
-83.08,-39.54,-66.74,,,,,,,,,,,,,,,,,,,,,
-26.28,-1.79,-79.65,195.35,91.23,,,,,,,,,,,,,,,,,,,
