-94.9126,-54.1043,208.5985,275.1915,,,,,,,,,,
-96.7918,369.3710,65.0835,118.8099,-59.8752,,,,,,,,,
-90.6527,-54.7431,313.0611,-95.1016,516.9185,10.3067,434.6372,-89.5671,707.7376,-63.1923,-65.7210,8.5066,61.9905,17.0308
-94.0383,643.2748,-66.9905,,,,,,,,,,,
-90.4985,,,,,,,,,,,,,
345.8208,,,,,,,,,,,,,
-8.4475,-56.8025,-74.4094,701.3088,,,,,,,,,,
,,,,,,,,,,,,,
-95.8457,843.7354,1343.5206,-96.0256,542.5186,,,,,,,,,
7.0864,-72.0950,-61.4516,,,,,,,,,,,
-53.8036,-89.0667,380.7853,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-83.1811,-87.5651,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-89.8432,,,,,,,,,,,,,
220.5626,,,,,,,,,,,,,
,,,,,,,,,,,,,
345.8208,,,,,,,,,,,,,
-84.2478,,,,,,,,,,,,,
,,,,,,,,,,,,,
30.2080,430.8205,,,,,,,,,,,,
,,,,,,,,,,,,,
-83.3856,719.2155,38.2277,85.6139,,,,,,,,,,
-21.2392,,,,,,,,,,,,,
127.4923,425.7706,-81.3116,489.1203,-33.5237,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-82.0901,631.8594,-79.3854,,,,,,,,,,,
3.0813,-91.2728,701.3088,,,,,,,,,,,
91.8659,-99.5037,18538.7733,-81.5101,-74.4700,14.3500,309.4441,-96.9719,,,,,,
-20.1900,-74.5755,11.0277,-78.5190,-49.9220,267.1535,85.5723,-83.3799,200.9363,251.6867,,,,
-82.4674,-93.0447,1185.0371,-61.4395,32.0378,-38.9650,,,,,,,,
-98.5017,7.3100,230.3444,157.7276,,,,,,,,,,
-32.6511,-19.0047,,,,,,,,,,,,
-53.4972,,,,,,,,,,,,,
-52.3629,723.4517,,,,,,,,,,,,
-90.8853,605.0497,12.4194,-39.7969,16.8216,4.8363,,,,,,,,
-8.2086,324.3230,-25.5819,-66.3558,,,,,,,,,,
5.9300,-97.1707,956.8963,,,,,,,,,,,
15.4280,,,,,,,,,,,,,
-83.7580,172.8665,-0.2363,,,,,,,,,,,
-97.5037,,,,,,,,,,,,,
-95.1140,,,,,,,,,,,,,
105.1632,,,,,,,,,,,,,
-55.7857,,,,,,,,,,,,,
-66.7580,,,,,,,,,,,,,
46.3196,,,,,,,,,,,,,
-83.8021,406.1064,-74.2696,,,,,,,,,,,
,,,,,,,,,,,,,
5011.6743,-85.3180,,,,,,,,,,,,
64.6167,,,,,,,,,,,,,
-81.1269,,,,,,,,,,,,,
126.7867,,,,,,,,,,,,,
-70.1053,187.9831,353.4943,-49.5659,,,,,,,,,,
466.3715,,,,,,,,,,,,,
-95.0070,62.4001,74.4253,-76.2724,-1.9496,982.6404,-95.3631,909.6720,-35.5865,-6.4128,-47.0084,-69.1447,75.5462,
,,,,,,,,,,,,,
-55.0602,3989.9749,-96.3178,328.3457,136.4583,,,,,,,,,
-68.4477,401.5054,-79.7797,,,,,,,,,,,
,,,,,,,,,,,,,
427.3114,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-86.7635,701.3088,,,,,,,,,,,,
,,,,,,,,,,,,,
16.8487,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-63.9208,710.2131,,,,,,,,,,,,
179.9694,-98.1608,,,,,,,,,,,,
0.8088,-74.9988,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
18.2259,,,,,,,,,,,,,
-76.2945,,,,,,,,,,,,,
,,,,,,,,,,,,,
-91.7707,1077.7535,-74.3201,1283.3739,-92.7423,-54.1058,355.4957,-74.0439,897.7893,-81.6181,909.3905,190.9199,,
-81.0938,17.5944,-21.1825,368.5111,-68.9832,-69.9602,434.6014,,,,,,,
,,,,,,,,,,,,,
-64.5041,994.7330,-90.8150,-75.7687,22.3845,-32.5192,600.8160,,,,,,,
-64.0470,,,,,,,,,,,,,
,,,,,,,,,,,,,
-7.6651,,,,,,,,,,,,,
92.7421,-56.8025,,,,,,,,,,,,
-51.2739,-37.6850,29.7430,-16.5366,-53.5453,235.1729,-85.2036,,,,,,,
246.4124,,,,,,,,,,,,,
71.1867,-79.1390,,,,,,,,,,,,
-53.1279,,,,,,,,,,,,,
-90.4014,231.4795,,,,,,,,,,,,
-46.2734,-61.8846,894.7617,,,,,,,,,,,
-51.3366,,,,,,,,,,,,,
,,,,,,,,,,,,,
-62.8363,-49.2162,,,,,,,,,,,,
-20.3304,,,,,,,,,,,,,
,,,,,,,,,,,,,
-25.0970,,,,,,,,,,,,,
-57.9473,470.6289,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-52.6198,,,,,,,,,,,,,
-8.9009,364.9536,,,,,,,,,,,,
-62.8363,-49.2162,,,,,,,,,,,,
,,,,,,,,,,,,,
-50.6522,,,,,,,,,,,,,
6.2294,,,,,,,,,,,,,
-91.9044,,,,,,,,,,,,,
-87.4395,1108.1900,,,,,,,,,,,,
-94.9416,-81.1269,1218.2784,161.0239,,,,,,,,,,
69.2548,129.0320,-57.8141,-45.4000,-28.4409,275.0584,-5.5005,141.4433,-28.8941,12.7997,,,,
,,,,,,,,,,,,,
450.7482,-45.3523,-3.6942,-28.9027,,,,,,,,,,
