-99.2908,,,,,,,,,
,,,,,,,,,
-96.7460,24.6151,5389.5454,,,,,,,
,,,,,,,,,
-97.0482,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
-85.2720,,,,,,,,,
-49.4812,207.3852,,,,,,,,
,,,,,,,,,
,,,,,,,,,
-96.3569,79.0365,1075.2869,21.5043,,,,,,
,,,,,,,,,
,,,,,,,,,
362.0153,,,,,,,,,
106.4750,,,,,,,,,
,,,,,,,,,
-94.5552,-66.7995,39.9531,,,,,,,
,,,,,,,,,
-29.5241,,,,,,,,,
,,,,,,,,,
-89.2642,-94.9354,,,,,,,,
,,,,,,,,,
-93.8754,-48.7138,130.4954,-25.2988,166.5533,623.3987,,,,
,,,,,,,,,
,,,,,,,,,
-31.9025,2.7976,,,,,,,,
-65.7022,-53.9009,-77.5237,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
190.2335,,,,,,,,,
,,,,,,,,,
487.2706,,,,,,,,,
,,,,,,,,,
65.0040,-76.7080,,,,,,,,
400.7546,-99.5445,907.8175,-90.2211,15.2477,298.4063,-9.4584,415.2441,-98.5080,386.3256
,,,,,,,,,
1477.9351,-98.8064,,,,,,,,
67.7916,,,,,,,,,
797.3693,,,,,,,,,
794.0683,-94.9674,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
-97.0328,1977.0909,130.4954,11.6526,-66.4491,,,,,
-91.6833,332.1789,-80.0797,2.0830,-55.7886,,,,,
-7.7389,,,,,,,,,
-91.0122,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
-93.2949,4878.4241,-98.4735,298.2370,681.7373,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
315.5409,,,,,,,,,
,,,,,,,,,
344.6405,,,,,,,,,
,,,,,,,,,
-11.1489,-98.3704,1121.2524,,,,,,,
-11.1489,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
32.0032,176.5929,,,,,,,,
-71.9345,-74.5698,-97.8442,2805.7970,2457.7124,-97.6367,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
23.1876,712.7747,-91.4631,3.0639,,,,,,
,,,,,,,,,
-89.1955,663.6121,-98.3129,3867.3796,-52.0761,661.6042,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
37.2268,711.9319,,,,,,,,
-92.6370,129.1363,1507.9561,-97.0057,-77.3550,3558.2331,-46.8587,,,
-49.8229,916.2910,67.7916,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
-91.8620,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
-94.7850,451.2284,-86.6261,-67.0303,418.6146,-54.1938,12249.8414,,,
,,,,,,,,,
,,,,,,,,,
